,물품대분류,상품명,물품판매량,제품단가,재구매기간0-10,재구매기간11-20,재구매기간21-30,재구매기간31-40,재구매기간41-50,재구매기간51-60,재구매기간61-70,재구매기간71-80,재구매기간81-90,재구매기간91-100,재구매기간101-
127,FC,좋은느낌 순수 울트라 날개 중형 18개입 (EA),34,4512,,,1.0,,,,,,,,
128,FC,좋은느낌 순수 팬티라이너 롱 18개입,571,3074,48.0,3.0,11.0,6.0,2.0,5.0,2.0,1.0,3.0,3.0,16.0
129,FC,좋은느낌 순수 팬티라이너 롱 18개입 (EA),26,3400,,,,1.0,,,,,,,
130,FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입,38,17234,,,,,,,,,,,1.0
131,FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입 (EA),15,11107,,,,,,,,,,,
132,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입,127,8999,1.0,,,,1.0,,,1.0,,,
133,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 (EA),6,6195,,,,,,1.0,,,,,
134,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 X 3,12,22750,,,,,,,,,,,
135,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입,58,17797,7.0,1.0,,,,,,,,,
136,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입 (EA),4,14080,,,,,,,,,,,
137,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입,279,9973,1.0,1.0,,,,1.0,,,,,3.0
138,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 (EA),7,8061,,,,,,,,,,,
139,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 X 3,32,28641,,,,,,,,,,,
140,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입,426,9512,8.0,2.0,1.0,3.0,,2.0,,2.0,2.0,,7.0
141,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X3,27,20167,,,,,,,,,,,
142,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3,15,24700,,,,,,,,,,,
143,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼백),219,2944,10.0,1.0,,2.0,,,,1.0,,1.0,2.0
144,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼팩) x 12,2,12960,,,,,,,,,,,
145,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입,269,17024,3.0,1.0,2.0,,,2.0,1.0,1.0,,,3.0
146,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입 (EA),2,11640,,,,,,,,,,,
147,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입,329,8665,15.0,2.0,1.0,1.0,2.0,1.0,,,1.0,,6.0
148,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 (EA),8,7751,,,,,,,,,,,
149,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X3,31,17439,,,,,,,,,,,
150,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X 3,7,22286,,,,,,,,,,,
151,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입,305,12508,3.0,,2.0,2.0,,,1.0,,,,4.0
152,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 (EA),8,8910,,,1.0,,,,,,,,
153,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 X3,34,25041,,,,,,,,,,,
154,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,13,19800,,,,,,,,,,,
155,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입,407,11984,14.0,2.0,4.0,2.0,1.0,,,1.0,1.0,,4.0
156,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 (EA),29,8603,1.0,,,,,,,,,,
157,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 X3,57,22579,5.0,,,,,,,,,,
158,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입,92,20220,5.0,,1.0,1.0,,,,,,,2.0
159,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 (EA),3,12780,,,,,,,,,,,
160,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 X 2,2,42600,,,,,,,,,,,
161,FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 (EA),6,12780,,,,,,,,,,,
162,FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 X 2,1,28400,,,,,,,,,,,
163,FC,좋은느낌 유기농 입는 오버나이트 중형 8입,112,21046,2.0,2.0,1.0,2.0,2.0,,,,,,2.0
164,FC,좋은느낌 유기농 입는 오버나이트 중형 8입 (EA),2,31950,,,,,,,,,,,
165,FC,좋은느낌 유기농 탐폰 슈퍼 12개입,42,15767,2.0,1.0,,1.0,1.0,,,1.0,,,
166,FC,좋은느낌 유기농 탐폰 슈퍼 12개입 (EA),15,9240,1.0,1.0,,,,,,,,,
167,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 대형 14개입,77,9823,4.0,,,,,,,,,,
168,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 대형 14개입 (EA),27,8133,,,,,,,,,,,
169,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입,110,10600,,,,,1.0,,,,,,
170,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입 (EA),26,6788,1.0,,,,,,,,,,
