물품대분류,상품명,물품판매량,제품단가,브랜드명,물품분류,물품중분류,기저귀 유형,기저귀 단계,Age_Range,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입 (EA),4,14080,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입,279,9973,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 (EA),7,8061,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 X 3,32,28641,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입,426,9512,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X3,27,20167,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3,15,24700,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼백),219,2944,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼팩) x 12,2,12960,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입,269,17024,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입 (EA),2,11640,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입,329,8665,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 (EA),8,7751,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X3,31,17439,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X 3,7,22286,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입,305,12508,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 (EA),8,8910,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 X3,34,25041,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,13,19800,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입,407,11984,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 (EA),29,8603,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 X3,57,22579,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 입는 오버나이트 대형 8개입,92,20220,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 (EA),3,12780,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 X 2,2,42600,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 (EA),6,12780,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 X 2,1,28400,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 입는 오버나이트 중형 8입,112,21046,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 입는 오버나이트 중형 8입 (EA),2,31950,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 탐폰 슈퍼 12개입,42,15767,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농 탐폰 슈퍼 12개입 (EA),15,9240,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 대형 14개입,77,9823,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 대형 14개입 (EA),27,8133,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입,110,10600,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입 (EA),26,6788,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 맥시슬림 수퍼롱 오버나이트 8개입 (EA),37,6555,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 맥시슬림 오버나이트 12개입 (EA),23,7642,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,22,25200,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,24,25575,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 대형 16개입 (EA),17,8735,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 중형 18개입 (EA),11,8640,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2,149,10933,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2 (EA),5,7200,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 대형 8개입,444,14301,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 대형 8개입 (EA),19,14560,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 대형 8개입 X2,11,32582,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 대형 8개입 X 2,12,24267,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 중형 8개입,206,14178,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 중형 8개입 (EA),9,10640,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 중형 8개입 X2,13,22400,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 입는 오버나이트 중형 8개입 X 2,15,25387,좋은느낌,여성용품,생리대,,,NaN,,,
